1,1,65,2
2,1,61,1
3,2,13,1
4,2,5,3
5,2,47,1
6,2,68,2
7,3,31,3
8,3,16,2
9,4,60,1
10,4,59,2
11,4,7,2
12,4,67,3
13,7,44,3
14,9,17,3
15,9,19,2
16,12,68,1
17,12,40,1
18,13,45,3
19,13,61,1
20,13,54,1
21,14,61,1
22,14,31,1
23,14,42,1
24,15,50,3
25,15,54,2
26,19,43,1
27,19,19,3
28,21,33,3
29,21,4,3
30,24,26,2
31,25,3,2
32,25,68,1
33,25,21,1
34,26,61,1
35,26,59,1
36,26,3,3
37,27,16,3
38,28,5,2
39,28,7,3
40,28,2,3
41,28,54,1
42,30,69,1
43,30,22,1
44,30,12,3
45,33,52,2
46,33,19,1
47,34,63,1
48,34,46,2
49,34,68,1
50,35,41,3
51,35,62,2
52,38,67,1
53,38,33,1
54,38,53,2
55,39,46,1
56,39,15,3
57,39,46,3
58,41,56,2
59,41,18,3
60,41,52,1
61,42,33,2
62,42,52,3
63,42,11,1
64,42,42,1
65,43,19,1
66,44,22,1
67,44,21,1
68,44,60,1
69,44,45,2
70,46,47,1
71,46,11,1
72,46,64,2
73,47,8,2
74,47,55,2
75,47,48,1
76,48,14,3
77,50,16,3
78,51,36,1
79,51,42,2
80,51,30,2
81,52,28,1
82,52,30,3
83,52,39,1
84,53,56,2
85,53,12,1
86,54,20,3
87,54,61,2
88,55,37,3
89,56,42,1
90,56,69,1
91,58,48,1
92,58,47,3
93,58,58,1
94,58,11,1
95,59,30,2
96,59,39,1
97,59,41,3
98,60,33,1
99,60,60,3
100,60,4,1
101,61,25,3
102,65,15,3
103,65,26,3
104,65,3,2
105,66,60,1
106,66,54,1
107,66,62,1
108,68,69,2
109,68,30,3
110,69,42,3
111,69,35,2
112,69,36,3
113,69,3,2
114,70,11,1
115,72,20,1
116,72,30,3
117,72,13,3
118,73,24,2
119,73,5,3
120,76,62,3
121,76,31,2
122,76,49,3
123,78,45,1
124,79,68,1
125,79,12,3
126,79,6,2
127,79,51,1
128,80,16,3
129,81,56,1
130,81,30,2
131,81,70,1
132,84,65,2
133,84,46,1
134,84,53,1
135,84,58,1
136,85,69,1
137,87,2,3
138,87,53,3
139,87,54,2
140,88,23,3
141,88,46,2
142,88,64,3
143,89,55,3
